n_neighbors,weights,mse
12,uniform,0.0031675040166760076
13,uniform,0.00327083817733686
14,uniform,0.0034641155972020884
11,uniform,0.003726622251983284
10,uniform,0.004004659075325128
15,uniform,0.004034495387182709
9,uniform,0.004151177959171338
16,uniform,0.004178482133884296
8,uniform,0.004676695981236866
7,uniform,0.005409234990171881
6,uniform,0.006877494132861072
3,uniform,0.007411193200741749
5,uniform,0.008235844649219093
4,uniform,0.009417326478100185
2,uniform,0.012537364251949025
14,distance,0.012888517099118034
13,distance,0.012913036855419497
15,distance,0.012929325562137361
12,distance,0.012932983368081104
16,distance,0.012937027502586393
11,distance,0.013015280250695668
10,distance,0.013133135423754931
9,distance,0.01314522614600909
3,distance,0.01334694874798194
8,distance,0.013441899985859504
2,distance,0.013897366908941153
7,distance,0.013967141644978304
1,distance,0.013991945815500352
1,uniform,0.013991945815500352
6,distance,0.014117844751398273
5,distance,0.014349077676654705
4,distance,0.01563228086836616
