hidden_layer_sizes,activation,optimizer,mse
"(16, 8)",tanh,sgd,0.004739602046937026
"(32, 16, 8)",tanh,sgd,0.0051833446579136805
"(64, 32, 16)",tanh,sgd,0.005328564203258533
"(16, 16, 8)",tanh,sgd,0.005769118623538433
"(64, 32)",tanh,sgd,0.006171566537180148
"(32, 16, 8)",relu,sgd,0.007180767976435093
"(32, 32)",tanh,sgd,0.007249093813854455
"(32, 32, 16)",tanh,sgd,0.007569068349605115
"(16, 16)",tanh,sgd,0.007635618382796618
"(64, 32, 16)",tanh,adam,0.007872439611815697
"(32, 16)",tanh,sgd,0.00787905959417209
"(32, 32)",relu,sgd,0.009120294447552413
"(16, 16, 8)",relu,sgd,0.009151568198563045
"(32, 32, 16)",tanh,adam,0.009431912036069585
"(64, 32)",tanh,adam,0.009721017815211279
"(32, 32, 16)",relu,sgd,0.010346547046817076
"(64, 32, 16)",relu,sgd,0.011189859188689982
"(32, 16)",relu,sgd,0.01173956388634344
"(32, 16)",tanh,adam,0.01227489737694386
"(64, 32)",relu,sgd,0.013877062385474632
"(16, 16)",tanh,adam,0.017056536973401017
"(16, 16)",relu,sgd,0.01832676036126119
"(32, 32)",tanh,adam,0.024812180724729075
"(16, 8)",relu,sgd,0.032041476647797926
"(64, 32, 16)",relu,adam,0.05754620793623418
"(32, 32)",relu,adam,0.08635400524591112
"(32, 32, 16)",relu,adam,0.090209860951722
"(32, 16)",relu,adam,0.11378372049344067
"(32, 16, 8)",relu,adam,0.1420730855593086
"(64, 32)",relu,adam,0.15539095294861047
"(16, 16, 8)",relu,adam,0.17480726988443607
"(16, 16)",relu,adam,0.40011729783959676
"(16, 16, 8)",tanh,adam,0.717275300524924
"(32, 16, 8)",tanh,adam,0.7532008442309532
"(16, 8)",relu,adam,0.9094416013993962
"(16, 8)",tanh,adam,1.2951661744843823
