hidden_layer_sizes,activation,optimizer,mse
"(16, 16)",relu,sgd,0.018141301282756598
"(16, 8)",relu,sgd,0.018459078314729566
"(32, 32)",relu,sgd,0.018814244513805617
"(16, 16, 8)",tanh,sgd,0.01966011906232946
"(32, 16, 8)",tanh,sgd,0.01972180598087502
"(64, 32, 16)",tanh,adam,0.019944333280856697
"(64, 32, 16)",tanh,sgd,0.020159039033003874
"(16, 8)",tanh,sgd,0.0205125695643309
"(64, 32)",relu,sgd,0.02054028043818991
"(64, 32, 16)",relu,sgd,0.021124081037749733
"(32, 32, 16)",tanh,sgd,0.02291881059929339
"(32, 32, 16)",tanh,adam,0.02304765272049489
"(64, 32)",tanh,sgd,0.023212511152853915
"(32, 16)",tanh,sgd,0.023767573794516106
"(32, 32, 16)",relu,sgd,0.023995079868684512
"(32, 16)",relu,sgd,0.02439653268263156
"(64, 32, 16)",relu,adam,0.02500196724001799
"(16, 16)",tanh,sgd,0.02550468002600657
"(32, 16, 8)",relu,sgd,0.02556219012939634
"(32, 32)",tanh,sgd,0.026638609487898642
"(16, 16, 8)",relu,sgd,0.026876614718927442
"(64, 32)",tanh,adam,0.027599230443622075
"(32, 16, 8)",relu,adam,0.028833043746357253
"(32, 16)",tanh,adam,0.03125247267451566
"(32, 32)",tanh,adam,0.03311190909505105
"(32, 32, 16)",relu,adam,0.03754015166026668
"(64, 32)",relu,adam,0.054022253137274906
"(32, 32)",relu,adam,0.08166106785492286
"(32, 16)",relu,adam,0.08871604236746189
"(16, 16, 8)",relu,adam,0.09229616471099351
"(16, 16)",relu,adam,0.1235206208652722
"(16, 16)",tanh,adam,0.20801190645037107
"(32, 16, 8)",tanh,adam,0.38645286954695374
"(16, 16, 8)",tanh,adam,0.39400400963478616
"(16, 8)",relu,adam,0.5071779069993233
"(16, 8)",tanh,adam,2.0638232003571586
