incident_year,incident_month,incident_category,count
2018,5,Stolen Property,47
2018,5,Suicide,2
2018,5,Suspicious,1
2018,5,Suspicious Occ,243
2018,5,Traffic Collision,17
2018,5,Traffic Violation Arrest,194
2018,5,Vandalism,18
2018,5,Vehicle Impounded,2
2018,5,Vehicle Misplaced,6
2018,5,Warrant,450
2018,5,Weapons Carrying Etc,74
2018,5,Weapons Offence,1
2018,5,Weapons Offense,57
2018,6,Arson,33
2018,6,Assault,795
2018,6,Burglary,579
2018,6,Case Closure,58
2018,6,Civil Sidewalks,27
2018,6,Courtesy Report,45
2018,6,Disorderly Conduct,193
2018,6,Drug Offense,238
2018,6,Drug Violation,3
2018,6,Embezzlement,14
2018,6,Fire Report,14
2018,6,Forgery And Counterfeiting,51
2018,6,Fraud,387
2018,6,Gambling,2
2018,6,Homicide,1
2018,6,"Human Trafficking (A), Commercial Sex Acts",16
2018,6,"Human Trafficking, Commercial Sex Acts",1
2018,6,Larceny Theft,3924
2018,6,Liquor Laws,1
2018,6,Lost Property,539
2018,6,Malicious Mischief,722
2018,6,Miscellaneous Investigation,114
2018,6,Missing Person,365
2018,6,Motor Vehicle Theft,481
2018,6,Motor Vehicle Theft?,2
2018,6,Non-Criminal,781
2018,6,Offences Against The Family And Children,166
2018,6,Other,76
2018,6,Other Miscellaneous,865
2018,6,Other Offenses,68
2018,6,Prostitution,30
2018,6,Rape,6
2018,6,Recovered Vehicle,379
2018,6,Robbery,319
2018,6,Sex Offense,13
2018,6,Stolen Property,54
2018,6,Suicide,5
2018,6,Suspicious,3
2018,6,Suspicious Occ,193
2018,6,Traffic Collision,23
2018,6,Traffic Violation Arrest,107
2018,6,Vandalism,12
2018,6,Vehicle Impounded,3
2018,6,Vehicle Misplaced,6
2018,6,Warrant,388
2018,6,Weapons Carrying Etc,57
2018,6,Weapons Offense,55
2018,7,Arson,25
2018,7,Assault,802
2018,7,Burglary,641
2018,7,Case Closure,87
2018,7,Civil Sidewalks,45
2018,7,Courtesy Report,52
2018,7,Disorderly Conduct,180
2018,7,Drug Offense,320
2018,7,Drug Violation,4
2018,7,Embezzlement,19
2018,7,Fire Report,11
2018,7,Forgery And Counterfeiting,55
2018,7,Fraud,440
2018,7,"Human Trafficking (A), Commercial Sex Acts",3
2018,7,Larceny Theft,4639
2018,7,Liquor Laws,2
2018,7,Lost Property,493
2018,7,Malicious Mischief,797
2018,7,Miscellaneous Investigation,130
2018,7,Missing Person,278
2018,7,Motor Vehicle Theft,484
2018,7,Motor Vehicle Theft?,2
2018,7,Non-Criminal,830
2018,7,Offences Against The Family And Children,176
2018,7,Other,65
2018,7,Other Miscellaneous,1017
2018,7,Other Offenses,99
2018,7,Prostitution,15
2018,7,Rape,7
2018,7,Recovered Vehicle,409
2018,7,Robbery,349
2018,7,Sex Offense,20
2018,7,Stolen Property,67
2018,7,Suicide,4
2018,7,Suspicious,3
2018,7,Suspicious Occ,224
2018,7,Traffic Collision,22
2018,7,Traffic Violation Arrest,129
2018,7,Vandalism,16
2018,7,Vehicle Impounded,6
2018,7,Vehicle Misplaced,7
2018,7,Warrant,502
2018,7,Weapons Carrying Etc,76
2018,7,Weapons Offence,2
2018,7,Weapons Offense,69
2018,8,Arson,38
2018,8,Assault,783
2018,8,Burglary,704
2018,8,Case Closure,67
2018,8,Civil Sidewalks,27
2018,8,Courtesy Report,34
2018,8,Disorderly Conduct,223
2018,8,Drug Offense,270
2018,8,Drug Violation,7
2018,8,Embezzlement,17
2018,8,Fire Report,11
2018,8,Forgery And Counterfeiting,76
2018,8,Fraud,413
2018,8,Homicide,8
2018,8,"Human Trafficking (A), Commercial Sex Acts",7
2018,8,Larceny Theft,4557
2018,8,Liquor Laws,2
2018,8,Lost Property,543
2018,8,Malicious Mischief,777
2018,8,Miscellaneous Investigation,113
2018,8,Missing Person,285
2018,8,Motor Vehicle Theft,444
2018,8,Motor Vehicle Theft?,1
2018,8,Non-Criminal,933
2018,8,Offences Against The Family And Children,158
2018,8,Other,57
2018,8,Other Miscellaneous,1036
2018,8,Other Offenses,93
2018,8,Prostitution,56
2018,8,Rape,8
2018,8,Recovered Vehicle,375
2018,8,Robbery,295
2018,8,Sex Offense,9
2018,8,Stolen Property,63
2018,8,Suicide,5
2018,8,Suspicious,1
2018,8,Suspicious Occ,262
2018,8,Traffic Collision,31
2018,8,Traffic Violation Arrest,198
2018,8,Vandalism,21
2018,8,Vehicle Impounded,11
2018,8,Vehicle Misplaced,5
2018,8,Warrant,515
2018,8,Weapons Carrying Etc,54
2018,8,Weapons Offence,1
2018,8,Weapons Offense,74
2018,9,Arson,20
2018,9,Assault,700
2018,9,Burglary,596
2018,9,Case Closure,35
2018,9,Civil Sidewalks,47
2018,9,Courtesy Report,40
2018,9,Disorderly Conduct,210
2018,9,Drug Offense,262
2018,9,Drug Violation,1
2018,9,Embezzlement,18
2018,9,Fire Report,8
2018,9,Forgery And Counterfeiting,49
2018,9,Fraud,335
2018,9,Gambling,1
2018,9,Homicide,1
2018,9,"Human Trafficking (A), Commercial Sex Acts",17
2018,9,"Human Trafficking, Commercial Sex Acts",1
2018,9,Larceny Theft,4107
2018,9,Liquor Laws,2
2018,9,Lost Property,492
2018,9,Malicious Mischief,673
2018,9,Miscellaneous Investigation,103
2018,9,Missing Person,268
2018,9,Motor Vehicle Theft,450
2018,9,Motor Vehicle Theft?,2
2018,9,Non-Criminal,820
2018,9,Offences Against The Family And Children,189
2018,9,Other,84
2018,9,Other Miscellaneous,1001
2018,9,Other Offenses,88
2018,9,Prostitution,81
2018,9,Rape,4
2018,9,Recovered Vehicle,390
2018,9,Robbery,300
2018,9,Sex Offense,17
2018,9,Stolen Property,78
2018,9,Suicide,6
2018,9,Suspicious,3
2018,9,Suspicious Occ,230
2018,9,Traffic Collision,25
2018,9,Traffic Violation Arrest,177
2018,9,Vandalism,22
2018,9,Vehicle Impounded,10
2018,9,Vehicle Misplaced,9
2018,9,Warrant,458
2018,9,Weapons Carrying Etc,76
2018,9,Weapons Offense,64
2018,10,Arson,40
2018,10,Assault,731
2018,10,Burglary,552
2018,10,Case Closure,55
2018,10,Civil Sidewalks,92
2018,10,Courtesy Report,47
2018,10,Disorderly Conduct,226
2018,10,Drug Offense,411
2018,10,Drug Violation,10
2018,10,Embezzlement,25
2018,10,Fire Report,11
2018,10,Forgery And Counterfeiting,65
2018,10,Fraud,385
2018,10,Homicide,2
2018,10,"Human Trafficking (A), Commercial Sex Acts",2
2018,10,"Human Trafficking, Commercial Sex Acts",1
2018,10,Larceny Theft,4214
2018,10,Liquor Laws,4
2018,10,Lost Property,539
2018,10,Malicious Mischief,753
2018,10,Miscellaneous Investigation,121
2018,10,Missing Person,343
2018,10,Motor Vehicle Theft,494
2018,10,Motor Vehicle Theft?,1
2018,10,Non-Criminal,833
2018,10,Offences Against The Family And Children,193
2018,10,Other,67
2018,10,Other Miscellaneous,943
2018,10,Other Offenses,97
2018,10,Prostitution,23
2018,10,Rape,5
2018,10,Recovered Vehicle,402
2018,10,Robbery,287
2018,10,Sex Offense,16
2018,10,Stolen Property,75
2018,10,Suicide,6
2018,10,Suspicious,6
2018,10,Suspicious Occ,205
2018,10,Traffic Collision,17
2018,10,Traffic Violation Arrest,146
2018,10,Vandalism,20
2018,10,Vehicle Impounded,8
2018,10,Vehicle Misplaced,5
2018,10,Warrant,470
2018,10,Weapons Carrying Etc,60
2018,10,Weapons Offense,58
2018,11,Arson,44
2018,11,Assault,659
2018,11,Burglary,496
2018,11,Case Closure,53
2018,11,Civil Sidewalks,52
2018,11,Courtesy Report,30
2018,11,Disorderly Conduct,184
2018,11,Drug Offense,420
2018,11,Drug Violation,6
2018,11,Embezzlement,19
2018,11,Fire Report,15
2018,11,Forgery And Counterfeiting,61
2018,11,Fraud,394
2018,11,Homicide,2
2018,11,"Human Trafficking (A), Commercial Sex Acts",7
2018,11,"Human Trafficking, Commercial Sex Acts",1
2018,11,Larceny Theft,3783
2018,11,Liquor Laws,3
2018,11,Lost Property,445
2018,11,Malicious Mischief,637
2018,11,Miscellaneous Investigation,109
2018,11,Missing Person,300
2018,11,Motor Vehicle Theft,450
2018,11,Motor Vehicle Theft?,1
2018,11,Non-Criminal,702
2018,11,Offences Against The Family And Children,165
2018,11,Other,100
2018,11,Other Miscellaneous,867
2018,11,Other Offenses,108
2018,11,Prostitution,12
2018,11,Rape,2
2018,11,Recovered Vehicle,339
2018,11,Robbery,275
2018,11,Sex Offense,12
2018,11,Stolen Property,53
2018,11,Suicide,5
2018,11,Suspicious,4
2018,11,Suspicious Occ,216
2018,11,Traffic Collision,22
2018,11,Traffic Violation Arrest,184
2018,11,Vandalism,15
2018,11,Vehicle Impounded,13
2018,11,Vehicle Misplaced,2
2018,11,Warrant,445
2018,11,Weapons Carrying Etc,62
2018,11,Weapons Offence,1
2018,11,Weapons Offense,66
2018,12,Arson,26
2018,12,Assault,705
2018,12,Burglary,527
2018,12,Case Closure,58
2018,12,Civil Sidewalks,23
2018,12,Courtesy Report,27
2018,12,Disorderly Conduct,188
2018,12,Drug Offense,258
2018,12,Drug Violation,2
2018,12,Embezzlement,19
2018,12,Fire Report,11
2018,12,Forgery And Counterfeiting,66
2018,12,Fraud,387
2018,12,Gambling,1
2018,12,Homicide,5
2018,12,"Human Trafficking (B), Involuntary Servitude",1
2018,12,Larceny Theft,4098
2018,12,Liquor Laws,1
2018,12,Lost Property,492
2018,12,Malicious Mischief,665
2018,12,Miscellaneous Investigation,96
2018,12,Missing Person,272
2018,12,Motor Vehicle Theft,462
2018,12,Motor Vehicle Theft?,1
2018,12,Non-Criminal,706
2018,12,Offences Against The Family And Children,161
2018,12,Other,87
2018,12,Other Miscellaneous,909
2018,12,Other Offenses,98
2018,12,Prostitution,21
2018,12,Rape,1
2018,12,Recovered Vehicle,356
2018,12,Robbery,359
2018,12,Sex Offense,11
2018,12,Stolen Property,59
2018,12,Suicide,4
2018,12,Suspicious,6
2018,12,Suspicious Occ,242
2018,12,Traffic Collision,17
2018,12,Traffic Violation Arrest,161
2018,12,Vandalism,15
2018,12,Vehicle Impounded,8
2018,12,Vehicle Misplaced,9
2018,12,Warrant,460
2018,12,Weapons Carrying Etc,41
2018,12,Weapons Offense,66
2019,1,Arson,24
2019,1,Assault,661
2019,1,Burglary,531
2019,1,Case Closure,64
2019,1,Civil Sidewalks,62
2019,1,Courtesy Report,41
2019,1,Disorderly Conduct,223
2019,1,Drug Offense,285
2019,1,Drug Violation,5
2019,1,Embezzlement,26
2019,1,Fire Report,7
2019,1,Forgery And Counterfeiting,69
