hidden_layer_sizes,activation,optimizer,mse
"(16, 16)",relu,sgd,0.01765951980494255
"(32, 16, 8)",tanh,sgd,0.018497612648662953
"(32, 16)",relu,sgd,0.019393315001811358
"(64, 32)",relu,sgd,0.01976943143385922
"(64, 32, 16)",tanh,adam,0.020054916464479187
"(16, 16, 8)",tanh,sgd,0.020734225031204843
"(32, 32)",relu,sgd,0.020892397838452755
"(64, 32, 16)",tanh,sgd,0.02226526668799987
"(32, 16, 8)",relu,sgd,0.02368843069408141
"(16, 8)",tanh,sgd,0.02371383326420423
"(32, 32, 16)",tanh,sgd,0.024320169593814913
"(64, 32)",tanh,sgd,0.024355273408037354
"(32, 32, 16)",tanh,adam,0.024453086979559013
"(32, 32)",tanh,sgd,0.024796201929047492
"(64, 32, 16)",relu,sgd,0.02497198736871775
"(64, 32)",tanh,adam,0.025027090462437424
"(16, 8)",relu,sgd,0.026245827815545446
"(32, 32)",tanh,adam,0.02687933240539178
"(16, 16)",tanh,sgd,0.027282540165247587
"(32, 32, 16)",relu,sgd,0.027392414639653015
"(32, 16)",tanh,sgd,0.028215193492338045
"(64, 32, 16)",relu,adam,0.028584418864916247
"(16, 16, 8)",relu,sgd,0.028696400238696875
"(32, 16, 8)",relu,adam,0.030471287822976176
"(32, 16)",tanh,adam,0.03195340556626085
"(32, 16)",relu,adam,0.034375519079286536
"(64, 32)",relu,adam,0.04604656208987389
"(32, 32, 16)",relu,adam,0.048342247442558946
"(16, 16)",tanh,adam,0.057557443008092096
"(32, 32)",relu,adam,0.0855253979958248
"(32, 16, 8)",tanh,adam,0.1152167699730658
"(16, 16, 8)",relu,adam,0.12066968211497109
"(16, 8)",relu,adam,0.21242854577359507
"(16, 16)",relu,adam,0.31685024544404233
"(16, 16, 8)",tanh,adam,0.4181012548618093
"(16, 8)",tanh,adam,1.1501558929693776
