,coef,se,p
Log_Prosecutions_lag1_hat_nn_ac_lt_c1,-0.33372744428016254***,0.0427052109112385,0.0
Log_Prosecutions_lag1_hat_nn_ac_lt_c2,-0.059492714634759025,0.0735324033438877,0.41848
Log_Prosecutions_lag1_hat_nn_vc_lt_c1,-0.31419066167696386***,0.0646183437550887,0.0
Log_Prosecutions_lag1_hat_nn_vc_lt_c2,-0.04046011517446857,0.0580646440343953,0.48592
Log_Prosecutions_lag1_hat_nn_noqol_lt_c1,-0.18368315829153303***,0.0596524111183449,0.00208
Log_Prosecutions_lag1_hat_nn_noqol_lt_c2,-0.00027868810701647817,0.04453092597798094,0.99501
