,coef,se,p
Log_Prosecutions_lag1_hat_nn_ac_lt_c1,-0.34372973793729145***,0.0426760354086627,0.0
Log_Prosecutions_lag1_hat_nn_ac_lt_c2,-0.0709129385306353,0.0766118622474288,0.35465
Log_Prosecutions_lag1_hat_nn_vc_lt_c1,-0.3162855636319737***,0.071653442948916,1e-05
Log_Prosecutions_lag1_hat_nn_vc_lt_c2,-0.07923071911507762,0.0624497484927239,0.20454
Log_Prosecutions_lag1_hat_nn_noqol_lt_c1,-0.20274496043573187***,0.0623509673233619,0.00115
Log_Prosecutions_lag1_hat_nn_noqol_lt_c2,0.003069269237890637,0.05036683102785363,0.95141
