                      ,coef,se,p
Boudin_ac_ld_c1,0.817***,(0.086),0.0
Boudin_ac_ld_c2,0.6909***,(0.105),0.0
Boudin_ac_no23_ld_c1,0.5784***,(0.058),0.0
Boudin_ac_no23_ld_c2,0.5845***,(0.076),0.0
Boudin_vc_no23_ld_c1,0.4931***,(0.075),0.0
Boudin_vc_no23_ld_c2,0.4725***,(0.086),0.0
Boudin_noqol_no23_ld_c1,0.7118***,(0.056),0.0
Boudin_noqol_no23_ld_c2,0.6868***,(0.084),0.0
Boudin_noqol_ld_c1,0.8674***,(0.078),0.0
Boudin_noqol_ld_c2,0.7844***,(0.114),0.0
